2021-07-22 21:17:50.019181 [guppy/message] ONT Guppy basecalling software version 5.0.11+2b6dbff, client-server API version 7.0.0
config file:        /opt/ont/guppy/data/dna_r9.4.1_450bps_hac.cfg
input path:         /data/zymo_test_data_1000/2
save path:          /data/zymo_test_data_1000/2/basecalling
chunk size:         2000
minimum qscore:     9
records per file:   4000
fastq compression:  ON

2021-07-22 21:17:50.019393 [guppy/info] crashpad_handler successfully launched.
2021-07-22 21:17:50.020932 [guppy/info] Connecting to server as 'guppy_basecall_client'
2021-07-22 21:17:50.185716 [guppy/info] Read '1492a35d-32f3-4dfb-859a-abc81f04c83c' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.185775 [guppy/info] Read '14d5aa2a-0441-4536-b673-2fd3022c1e7e' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.193270 [guppy/info] Read '14e3087b-a888-4ed0-9938-59eb5870d03e' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.194385 [guppy/info] Read '15628b0c-dab5-4e94-a4d0-234d719fbd0b' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.195483 [guppy/info] Read '15bec8ee-e417-4ce4-94ac-cd112ecc2556' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.198716 [guppy/info] Read '15c90e79-40ae-40a7-a502-95b682327bc8' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.200883 [guppy/info] Read '15dac4bc-74a3-4f68-b4c5-918e186dcfd8' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.203052 [guppy/info] Read '15e7d397-9093-4490-8da2-af05d12c4328' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.203076 [guppy/info] Read '15fc2e87-81b2-4d85-ab36-e63b2cc7e90f' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.205249 [guppy/info] Read '168c07d9-9311-44e6-a847-1f4d2fc4debe' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.206350 [guppy/info] Read '1696765f-9139-40ac-a7eb-a90eddd12f72' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.207452 [guppy/info] Read '16a89db4-e871-4060-9e1d-10f5d44787cd' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.207477 [guppy/info] Read '1742337f-a684-4a76-97d9-eceb8e671521' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.209635 [guppy/info] Read '174fe808-db37-4ab4-aa61-c829e63896f4' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.210733 [guppy/info] Read '17e8ccf6-2a66-4d4c-97dd-950123d66c76' from file "zymo_test_2.fast5" has been loaded.
2021-07-22 21:17:50.210757 [guppy/info] Read '181fc917-44c6-4253-aa8d-8de028119b69' from file "zymo_test_2.fast5" has been loaded.
