2021-07-23 10:18:50.726877 [guppy/message] ONT Guppy basecalling software version 5.0.11+2b6dbff, client-server API version 7.0.0
config file:        /opt/ont/guppy/data/dna_r9.4.1_450bps_sketch.cfg
input path:         2000
save path:          sketch_2000
chunk size:         2000
minimum qscore:     7
records per file:   4000

2021-07-23 10:18:50.727324 [guppy/info] crashpad_handler successfully launched.
2021-07-23 10:18:50.729678 [guppy/info] Connecting to server as 'guppy_basecall_client'
2021-07-23 10:18:50.729866 [guppy/info] connection state: preparing_connection
2021-07-23 10:18:50.730222 [guppy/info] connection state: loading_config
2021-07-23 10:18:51.733152 [guppy/info] connection state: loading_alignment_index
2021-07-23 10:18:51.733220 [guppy/info] connection state: loading_bed_file
2021-07-23 10:18:51.814136 [guppy/info] Read '1d668d63-7e9f-4fb6-976b-0a5d0a2f4fcf' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.814155 [guppy/info] Read '1d805b0e-1b77-48cf-b731-472070d6b9dc' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.815255 [guppy/info] Read '1d9741e8-a99d-4a95-898a-209a493bc7d6' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.815279 [guppy/info] Read '1e0e324f-f518-4ccb-bb2f-25f1444c5e7b' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.816373 [guppy/info] Read '1e32faf8-e854-41de-9f19-46df6bab36b1' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.816396 [guppy/info] Read '1ec75c5e-bb35-4037-b232-3b6e1ce32fcc' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.816417 [guppy/info] Read '1edefe65-2cb6-46eb-80d1-038f3f5e9621' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.817505 [guppy/info] Read '1f072075-1a03-43c0-9de9-205b1465733c' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.817531 [guppy/info] Read '1f0b0e82-7a2a-45c6-ac24-867b2324813c' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.817549 [guppy/info] Read '1f77cc10-172d-403f-95fb-c1dd930d9537' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.818643 [guppy/info] Read '1fa44954-2928-4442-af58-4dcf6991ca83' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.818669 [guppy/info] Read '1fdf864b-e204-426b-9b94-ff194ab7579b' from file "zymo_test_2000.fast5" has been loaded.
2021-07-23 10:18:51.818692 [guppy/info] Read '2039d13c-6404-47bc-98c1-e92d1f95a6c9' from file "zymo_test_2000.fast5" has been loaded.
